"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","GildedRose","0","Gilded Rose Inventory Management","19","0","Item quality and sellIn update correctly","0"
"0","GildedRose","0","InventoryManagement","19","0","Item quality and sellIn update correctly","0"
